iter	Passed	Remaining
0	53	53507
1	54	27122
2	55	18395
3	56	13985
4	56	11342
5	57	9579
6	58	8299
7	59	7335
8	59	6581
9	60	5978
10	61	5488
11	61	5078
12	62	4730
13	62	4432
14	63	4172
15	64	3944
16	64	3745
17	65	3567
18	66	3409
19	66	3266
20	67	3138
21	67	3019
22	68	2911
23	69	2813
24	69	2724
25	70	2640
26	71	2562
27	71	2489
28	72	2423
29	72	2359
30	73	2300
31	74	2245
32	74	2193
33	75	2145
34	76	2100
35	76	2056
36	77	2015
37	78	1977
38	78	1940
39	79	1904
40	80	1871
41	80	1839
42	81	1808
43	81	1779
44	82	1751
45	83	1724
46	83	1698
47	84	1673
48	85	1649
49	85	1626
50	86	1607
51	87	1587
52	87	1566
53	88	1546
54	88	1526
55	89	1508
56	90	1490
57	90	1474
58	91	1457
59	92	1441
60	92	1425
61	93	1411
62	93	1396
63	94	1382
64	95	1368
65	95	1354
66	96	1342
67	97	1330
68	97	1317
69	98	1305
70	98	1294
71	99	1282
72	100	1271
73	100	1261
74	101	1250
75	102	1240
76	102	1231
77	103	1221
78	103	1211
79	104	1201
80	105	1192
81	105	1184
82	106	1172
83	106	1164
84	107	1156
85	108	1147
86	108	1139
87	109	1132
88	109	1124
89	110	1117
90	111	1109
91	111	1102
92	112	1096
93	113	1089
94	113	1082
95	114	1075
96	114	1068
97	115	1062
98	116	1056
99	116	1050
100	117	1044
101	118	1039
102	118	1033
103	119	1028
104	119	1022
105	120	1017
106	121	1013
107	122	1008
108	122	1003
109	123	998
110	124	994
111	124	989
112	125	984
113	126	979
114	126	974
115	127	970
116	127	964
117	128	960
118	129	955
119	129	950
120	130	946
121	130	941
122	131	937
123	132	933
124	132	929
125	133	925
126	133	920
127	134	916
128	135	913
129	135	909
130	136	905
131	137	901
132	137	898
133	138	894
134	139	891
135	139	887
136	140	883
137	140	880
138	141	876
139	142	872
140	142	869
141	143	864
142	143	861
143	144	858
144	144	854
145	145	851
146	146	848
147	146	845
148	147	842
149	148	839
150	148	836
151	149	833
152	150	830
153	150	827
154	151	824
155	151	821
156	152	819
157	153	816
158	153	813
159	154	810
160	154	806
161	155	803
162	155	800
163	156	798
164	157	795
165	157	793
166	158	790
167	159	787
168	159	785
169	160	783
170	161	780
171	161	778
172	162	775
173	162	773
174	163	770
175	164	769
176	164	766
177	165	764
178	166	762
179	166	760
180	167	758
181	168	756
182	169	755
183	169	753
184	170	751
185	171	749
186	171	747
187	172	745
188	173	743
189	173	741
190	174	739
191	175	737
192	175	735
193	176	733
194	177	731
195	177	728
196	178	726
197	178	724
198	179	722
199	180	720
200	180	718
201	181	716
202	182	714
203	182	712
204	183	710
205	183	708
206	184	706
207	185	704
208	185	702
209	186	700
210	186	698
211	187	697
212	188	695
213	188	693
214	189	691
215	190	690
216	190	688
217	191	686
218	191	684
219	192	682
220	193	680
221	193	679
222	194	677
223	195	675
224	195	673
225	196	672
226	196	670
227	197	669
228	198	667
229	198	665
230	199	664
231	200	662
232	200	660
233	201	659
234	201	657
235	202	656
236	203	654
237	203	652
238	204	651
239	205	649
240	205	647
241	206	646
242	206	644
243	207	643
244	208	641
245	208	639
246	209	638
247	210	636
248	210	635
249	211	633
250	211	632
251	212	630
252	213	629
253	213	627
254	214	625
255	214	624
256	215	622
257	216	621
258	216	619
259	217	618
260	217	617
261	218	615
262	219	614
263	219	613
264	220	611
265	221	610
266	221	608
267	222	607
268	223	606
269	223	604
270	224	603
271	224	601
272	225	600
273	226	599
274	226	597
275	227	596
276	228	595
277	228	593
278	229	592
279	229	591
280	230	589
281	231	588
282	231	587
283	232	586
284	233	584
285	233	583
286	234	582
287	235	581
288	235	579
289	236	578
290	236	577
291	237	575
292	238	574
293	238	573
294	239	572
295	240	571
296	240	569
297	241	568
298	242	567
299	242	566
300	243	564
301	243	563
302	244	562
303	245	561
304	245	560
305	246	558
306	247	557
307	247	556
308	248	555
309	248	553
310	249	552
311	250	551
312	250	550
313	251	549
314	252	548
315	252	546
316	253	545
317	253	544
318	254	543
319	255	542
320	255	541
321	256	540
322	257	538
323	257	537
324	258	536
325	258	535
326	259	534
327	260	533
328	260	532
329	261	530
330	262	529
331	262	528
332	263	527
333	263	526
334	264	525
335	265	524
336	265	523
337	266	521
338	267	520
339	267	519
340	268	518
341	269	517
342	269	516
343	270	515
344	270	514
345	271	513
346	272	512
347	272	511
348	273	510
349	274	508
350	274	507
351	275	506
352	275	505
353	276	504
354	277	503
355	277	502
356	278	501
357	279	500
358	279	499
359	280	498
360	280	497
361	281	496
362	282	495
363	282	494
364	283	493
365	284	492
366	284	491
367	285	490
368	286	489
369	286	488
370	287	486
371	287	485
372	288	484
373	289	483
374	289	482
375	290	481
376	290	480
377	291	479
378	292	478
379	292	477
380	293	476
381	294	475
382	294	474
383	295	473
384	295	472
385	296	471
386	297	470
387	297	469
388	298	468
389	299	467
390	299	466
391	300	465
392	301	465
393	301	464
394	302	463
395	302	462
396	303	461
397	304	460
398	304	459
399	305	458
400	306	457
401	306	456
402	307	455
403	308	454
404	308	453
405	309	452
406	309	451
407	310	450
408	311	449
409	311	448
410	312	447
411	312	446
412	313	445
413	314	444
414	314	443
415	315	442
416	316	441
417	316	441
418	317	440
419	317	439
420	318	438
421	319	437
422	319	436
423	320	435
424	321	434
425	321	433
426	322	432
427	322	431
428	323	430
429	324	429
430	324	428
431	325	427
432	326	427
433	326	426
434	327	425
435	327	424
436	328	423
437	329	422
438	329	421
439	330	420
440	330	419
441	331	418
442	332	417
443	332	416
444	333	415
445	334	415
446	334	414
447	335	413
448	336	412
449	336	411
450	337	410
451	337	409
452	338	408
453	339	407
454	339	406
455	340	406
456	340	405
457	341	404
458	342	403
459	342	402
460	343	401
461	344	400
462	344	399
463	345	398
464	346	398
465	346	397
466	347	396
467	347	395
468	348	394
469	349	393
470	349	392
471	350	391
472	351	391
473	351	390
474	352	389
475	352	388
476	353	387
477	354	386
478	354	385
479	355	384
480	355	384
481	356	383
482	357	382
483	357	381
484	358	380
485	358	379
486	359	378
487	360	377
488	360	377
489	361	376
490	362	375
491	362	374
492	363	373
493	363	372
494	364	371
495	365	371
496	365	370
497	366	369
498	366	368
499	367	367
500	368	366
501	368	365
502	369	365
503	370	364
504	370	363
505	371	362
506	371	361
507	372	360
508	373	360
509	373	359
510	374	358
511	375	357
512	375	356
513	376	355
514	377	355
515	377	354
516	378	353
517	378	352
518	379	351
519	380	350
520	380	350
521	381	349
522	382	348
523	382	347
524	383	346
525	383	345
526	384	345
527	385	344
528	385	343
529	386	342
530	387	341
531	387	341
532	388	340
533	388	339
534	389	338
535	390	337
536	390	337
537	391	336
538	392	335
539	393	335
540	393	334
541	394	333
542	395	332
543	395	331
544	396	330
545	397	330
546	397	329
547	398	328
548	399	327
549	399	327
550	400	326
551	400	325
552	401	324
553	402	323
554	402	322
555	403	322
556	404	321
557	404	320
558	405	319
559	405	318
560	406	318
561	407	317
562	407	316
563	408	315
564	409	314
565	409	314
566	410	313
567	410	312
568	411	311
569	412	310
570	412	310
571	413	309
572	414	308
573	414	307
574	415	307
575	416	306
576	416	305
577	417	304
578	417	303
579	418	303
580	419	302
581	419	301
582	420	300
583	421	299
584	421	299
585	422	298
586	422	297
587	423	296
588	424	295
589	424	295
590	425	294
591	426	293
592	426	292
593	427	292
594	427	291
595	428	290
596	429	289
597	429	288
598	430	288
599	431	287
600	431	286
601	432	285
602	432	285
603	433	284
604	434	283
605	434	282
606	435	281
607	435	281
608	436	280
609	437	279
610	437	278
611	438	277
612	439	277
613	439	276
614	440	275
615	441	274
616	441	274
617	442	273
618	442	272
619	443	271
620	444	271
621	444	270
622	445	269
623	446	268
624	446	267
625	447	267
626	447	266
627	448	265
628	449	264
629	449	264
630	450	263
631	451	262
632	451	261
633	452	261
634	452	260
635	453	259
636	454	258
637	454	258
638	455	257
639	456	256
640	456	255
641	457	255
642	458	254
643	458	253
644	459	252
645	459	252
646	460	251
647	461	250
648	461	249
649	462	249
650	463	248
651	463	247
652	464	246
653	465	246
654	465	245
655	466	244
656	466	243
657	467	242
658	468	242
659	468	241
660	469	240
661	469	239
662	470	239
663	471	238
664	471	237
665	472	236
666	473	236
667	473	235
668	474	234
669	474	233
670	475	233
671	476	232
672	476	231
673	477	230
674	478	230
675	478	229
676	479	228
677	479	227
678	480	227
679	481	226
680	481	225
681	482	224
682	483	224
683	483	223
684	484	222
685	484	221
686	485	221
687	486	220
688	486	219
689	487	219
690	488	218
691	488	217
692	489	216
693	490	216
694	490	215
695	491	214
696	491	213
697	492	213
698	493	212
699	493	211
700	494	210
701	495	210
702	495	209
703	496	208
704	496	207
705	497	207
706	498	206
707	498	205
708	499	204
709	500	204
710	500	203
711	501	202
712	501	202
713	502	201
714	503	200
715	503	199
716	504	199
717	505	198
718	505	197
719	506	196
720	507	196
721	507	195
722	508	194
723	508	194
724	509	193
725	510	192
726	510	191
727	511	191
728	512	190
729	512	189
730	513	188
731	514	188
732	514	187
733	515	186
734	515	186
735	516	185
736	517	184
737	517	183
738	518	183
739	519	182
740	519	181
741	520	180
742	520	180
743	521	179
744	522	178
745	522	178
746	523	177
747	524	176
748	524	175
749	525	175
750	526	174
751	526	173
752	527	172
753	527	172
754	528	171
755	529	170
756	529	170
757	530	169
758	531	168
759	531	167
760	532	167
761	532	166
762	533	165
763	534	165
764	534	164
765	535	163
766	536	162
767	536	162
768	537	161
769	538	160
770	538	159
771	539	159
772	539	158
773	540	157
774	541	157
775	541	156
776	542	155
777	542	154
778	543	154
779	544	153
780	544	152
781	545	152
782	545	151
783	546	150
784	547	149
785	547	149
786	548	148
787	549	147
788	549	147
789	550	146
790	551	145
791	551	144
792	552	144
793	552	143
794	553	142
795	554	142
796	554	141
797	555	140
798	556	139
799	556	139
800	557	138
801	557	137
802	558	137
803	559	136
804	559	135
805	560	134
806	560	134
807	561	133
808	562	132
809	563	132
810	563	131
811	564	130
812	564	129
813	565	129
814	566	128
815	566	127
816	567	127
817	567	126
818	568	125
819	569	124
820	569	124
821	570	123
822	571	122
823	571	122
824	572	121
825	573	120
826	573	120
827	574	119
828	574	118
829	575	117
830	576	117
831	576	116
832	577	115
833	578	115
834	578	114
835	579	113
836	580	112
837	580	112
838	581	111
839	581	110
840	582	110
841	583	109
842	583	108
843	584	108
844	585	107
845	585	106
846	586	105
847	587	105
848	587	104
849	588	103
850	588	103
851	589	102
852	590	101
853	590	100
854	591	100
855	592	99
856	592	98
857	593	98
858	593	97
859	594	96
860	595	96
861	595	95
862	596	94
863	597	93
864	597	93
865	598	92
866	598	91
867	599	91
868	600	90
869	600	89
870	601	89
871	602	88
872	602	87
873	603	86
874	604	86
875	604	85
876	605	84
877	605	84
878	606	83
879	607	82
880	607	82
881	608	81
882	609	80
883	609	80
884	610	79
