iter	Passed	Remaining
0	120	120054
1	122	61168
2	124	41373
3	125	31341
4	127	25435
5	132	21881
6	135	19177
7	136	16904
8	137	15166
9	139	13778
10	140	12610
11	143	11822
12	146	11105
13	147	10389
14	148	9774
15	150	9264
16	151	8765
17	152	8328
18	153	7936
19	154	7582
20	155	7272
21	157	7018
22	159	6772
23	160	6529
24	161	6301
25	165	6194
26	168	6066
27	169	5882
28	170	5706
29	171	5550
30	175	5497
31	177	5372
32	179	5255
33	180	5125
34	181	5000
35	182	4883
36	183	4775
37	184	4675
38	185	4582
39	190	4578
40	192	4491
41	193	4409
42	194	4327
43	195	4249
44	196	4173
45	197	4099
46	198	4028
47	201	3988
48	207	4020
49	208	3960
50	209	3897
51	211	3855
52	212	3802
53	213	3748
54	215	3695
55	216	3649
56	220	3640
57	221	3596
58	222	3546
59	223	3498
60	224	3453
61	225	3408
62	226	3364
63	228	3338
64	229	3301
65	230	3260
66	231	3221
67	232	3189
68	234	3160
69	235	3124
70	236	3089
71	237	3056
72	238	3023
73	239	2995
74	241	2982
75	244	2970
76	245	2940
77	246	2910
78	247	2881
79	249	2869
80	252	2860
81	253	2833
82	253	2802
83	255	2781
84	256	2757
85	257	2732
86	258	2707
87	258	2683
88	259	2659
89	260	2635
90	261	2614
91	266	2629
92	267	2608
93	268	2587
94	269	2570
95	270	2550
96	271	2530
97	272	2511
98	273	2490
99	274	2471
100	275	2451
101	276	2432
102	281	2451
103	282	2433
104	283	2415
105	284	2403
106	286	2388
107	287	2373
108	288	2358
109	289	2343
110	290	2328
111	292	2322
112	294	2311
113	296	2305
114	297	2289
115	298	2275
116	299	2263
117	301	2253
118	302	2240
119	303	2226
120	304	2211
121	305	2196
122	308	2198
123	309	2189
124	313	2195
125	314	2182
126	315	2170
127	316	2159
128	319	2153
129	319	2140
130	320	2128
131	325	2141
132	326	2130
133	328	2122
134	329	2111
135	330	2100
136	331	2088
137	333	2083
138	334	2074
139	335	2063
140	341	2077
141	341	2064
142	342	2053
143	344	2049
144	345	2038
145	346	2027
146	347	2017
147	348	2006
148	349	1996
149	350	1985
150	352	1979
151	354	1977
152	355	1969
153	357	1961
154	360	1964
155	363	1964
156	364	1955
157	365	1945
158	371	1964
159	372	1956
160	373	1945
161	374	1937
162	375	1930
163	378	1926
164	379	1920
165	380	1912
166	385	1921
167	387	1916
168	388	1908
169	389	1900
170	390	1891
171	391	1885
172	393	1878
173	394	1872
174	395	1864
175	400	1875
176	401	1866
177	402	1858
178	403	1852
179	404	1844
180	405	1836
181	406	1828
182	408	1822
183	409	1815
184	410	1808
185	414	1813
186	415	1807
187	416	1800
188	418	1794
189	419	1789
190	420	1782
191	421	1775
192	423	1768
193	423	1761
194	425	1754
195	427	1752
196	429	1748
197	430	1742
198	431	1736
199	434	1736
200	437	1739
201	438	1733
202	439	1727
203	443	1728
204	445	1726
205	446	1719
206	447	1714
207	448	1709
208	450	1703
209	451	1697
210	452	1692
211	456	1696
212	458	1693
213	459	1687
214	460	1681
215	461	1674
216	462	1668
217	463	1662
218	464	1656
219	465	1650
220	466	1645
221	468	1640
222	474	1654
223	479	1660
224	480	1653
225	481	1647
226	482	1641
227	483	1635
228	484	1630
229	491	1644
230	492	1640
231	493	1634
232	494	1628
233	495	1622
234	497	1618
235	498	1615
236	505	1626
237	506	1622
238	507	1616
239	508	1610
240	509	1604
241	510	1598
242	511	1592
243	512	1586
244	513	1583
245	514	1578
246	522	1591
247	523	1586
248	524	1581
249	525	1576
250	526	1571
251	527	1566
252	528	1560
253	529	1554
254	530	1549
255	532	1548
256	534	1546
257	535	1540
258	536	1535
259	537	1530
260	539	1527
261	541	1525
262	542	1520
263	546	1524
264	549	1524
265	550	1519
266	551	1515
267	553	1510
268	554	1506
269	555	1501
270	556	1496
271	557	1492
272	558	1487
273	564	1495
274	565	1490
275	566	1485
276	567	1482
277	569	1477
278	570	1473
279	571	1468
280	572	1463
281	573	1459
282	573	1454
283	578	1459
284	579	1454
285	580	1449
286	581	1445
287	583	1441
288	584	1437
289	585	1432
